source_table,model,accuracy,precision,recall,f1,TP,FP,TN,FN,roc_auc,group,removed_features,delta_vs_full_model,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_auc_mean,variant,name,n_total,n_test,mean_prob,fn_mean_prob,primary_feature,window,n_malicious,n_benign,auc,tp,fp,fn,tn,rank,feature,class,n,mean,std,pct_above_threshold,family,samples_scanned,evasion_detected,evasion_rate_pct,filename,predicted_probability,lf_compression_method,cd_compression_method,method_mismatch,data_entropy_shannon,data_entropy_renyi,declared_vs_entropy_flag,eocd_count,lf_unknown_method,suspicious_entry_count,suspicious_entry_ratio,any_crc_mismatch,is_encrypted,Attack,Strategy,Features Neutralized,Evasion (ML only),Evasion (Hybrid),Residual weakness,attack,parameter,n_decoys,features_neutralized,prob_ml_only,detected_ml_only,evasion_ml_only,prob_hybrid,detected_hybrid,evasion_hybrid,lf_method,cd_method,deflate_level,payload_entropy,format,samples,malicious,benign,cv_recall,cv_recall_ci,file_path,file_size_kb,prediction,prob_benign,prob_malicious,is_false_positive,held_out_family,train_rows,test_positive_rows,test_negative_rows,false_positive_rate,train_dataset,test_dataset,synthetic_mal_mean,synthetic_mal_std,real_mal_mean,real_mal_std,ks_statistic,ks_p_value,mean_abs_diff
table1_baseline_comparison,Rule-based baseline,0.89,0.8792,0.863,0.871,233.0,32.0,325.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table1_baseline_comparison,ZombieGuard LightGBM,1.0,1.0,1.0,1.0,270.0,0.0,357.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table5_feature_ablation,,,,0.9962962962962963,,,,,,,None (full model),---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table5_feature_ablation,,,,1.0,,,,,,,"Entropy features (4, 5, 6)","data_entropy_shannon, data_entropy_renyi, declared_vs_entropy_flag",0.0037037037037036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table5_feature_ablation,,,,1.0,,,,,,,"Suspicious entry group (3, 9, 10)","method_mismatch, suspicious_entry_count, suspicious_entry_ratio",0.0037037037037036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table5_feature_ablation,,,,0.9962962962962963,,,,,,,"Header method fields (1, 2)","lf_compression_method, cd_compression_method",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table5_feature_ablation,,,,0.9962962962962963,,,,,,,CRC mismatch (11),any_crc_mismatch,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table5_feature_ablation,,,,1.0,,,,,,,EOCD count (7),eocd_count,0.0037037037037036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table5_feature_ablation,,,,0.9962962962962963,,,,,,,Encryption flag (12),is_encrypted,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6_multi_baseline_comparison,Logistic Regression,1.0,1.0,1.0,1.0,270.0,0.0,357.0,0.0,1.0,,,,0.9991,0.0019,0.9982,0.9986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6_multi_baseline_comparison,Linear SVM,1.0,1.0,1.0,1.0,270.0,0.0,357.0,0.0,1.0,,,,0.9991,0.0019,0.9986,0.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6_multi_baseline_comparison,Random Forest,1.0,1.0,1.0,1.0,270.0,0.0,357.0,0.0,1.0,,,,0.9991,0.0019,0.9995,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6_multi_baseline_comparison,LightGBM,1.0,1.0,1.0,1.0,270.0,0.0,357.0,0.0,1.0,,,,0.9991,0.0019,0.9991,0.9995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6_multi_baseline_comparison,XGBoost,0.9984,1.0,0.9963,0.9981,269.0,0.0,357.0,1.0,1.0,,,,0.9991,0.0019,0.9995,0.9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6b_multi_baseline_hard_test,Logistic Regression,0.9888,0.9143,1.0,0.9552,32.0,3.0,234.0,0.0,0.9993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6b_multi_baseline_hard_test,Linear SVM,0.9851,0.9118,0.9688,0.9394,31.0,3.0,234.0,1.0,0.9992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6b_multi_baseline_hard_test,Random Forest,0.9665,1.0,0.7188,0.8364,23.0,0.0,237.0,9.0,0.9974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6b_multi_baseline_hard_test,LightGBM,0.9926,1.0,0.9375,0.9677,30.0,0.0,237.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table6b_multi_baseline_hard_test,XGBoost,0.9665,1.0,0.7188,0.8364,23.0,0.0,237.0,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,350.0,,,0.0,,,,,,,,,A,Classic Zombie ZIP,350.0,350.0,0.9993,,method_mismatch + declared_vs_entropy_flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,100.0,,,0.0,,,,,,,,,B,Method-only mismatch,100.0,100.0,0.9991,,method_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,0.9867,,148.0,,,2.0,,,,,,,,,C,Gootloader concatenation,150.0,150.0,0.9889,0.2062,eocd_count > 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,150.0,,,0.0,,,,,,,,,D,Multi-file decoy,150.0,150.0,0.9987,,suspicious_entry_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,100.0,,,0.0,,,,,,,,,E,CRC32 mismatch,100.0,100.0,0.9995,,any_crc_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,100.0,,,0.0,,,,,,,,,F,Extra field noise,100.0,100.0,0.9992,,declared_vs_entropy_flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,100.0,,,0.0,,,,,,,,,G,High compression gap,100.0,100.0,0.9989,,declared_vs_entropy_flag + entropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,100.0,,,0.0,,,,,,,,,H,Size field mismatch,100.0,100.0,0.9995,,method_mismatch + entropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table7_variant_recall,,,,1.0,,200.0,,,0.0,,,,,,,,,I,Undefined method code,200.0,200.0,0.995,,lf_unknown_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8_temporal_stability,,,0.9865,1.0,0.9932,,,,,,,,,,,,,,,,,,,,T1 (train),439.0,594.0,1.0,439.0,6.0,0.0,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8_temporal_stability,,,0.9865,0.9977,0.9921,,,,,,,,,,,,,,,,,,,,T2 (test),439.0,594.0,0.999,438.0,6.0,1.0,588.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8_temporal_stability,,,0.9803,0.6795,0.8027,,,,,,,,,,,,,,,,,,,,T3 (test),440.0,595.0,0.7797,299.0,6.0,141.0,589.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8_temporal_stability,,,0.9606,1.0,0.9799,,,,,,,,,,,,,,,,,,,,Synth→T1,439.0,594.0,0.9756,439.0,18.0,0.0,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8_temporal_stability,,,0.9606,1.0,0.9799,,,,,,,,,,,,,,,,,,,,Synth→T2,439.0,594.0,0.9756,439.0,18.0,0.0,576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8_temporal_stability,,,0.9469,0.7295,0.8241,,,,,,,,,,,,,,,,,,,,Synth→T3,440.0,595.0,0.8766,321.0,18.0,119.0,577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,1.0,data_entropy_renyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,2.0,data_entropy_shannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,3.0,lf_compression_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,4.0,is_encrypted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T1,,,,,,,,5.0,suspicious_entry_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,1.0,data_entropy_renyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,2.0,data_entropy_shannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,3.0,lf_compression_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,4.0,is_encrypted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T2,,,,,,,,5.0,suspicious_entry_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,1.0,data_entropy_renyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,2.0,data_entropy_shannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,3.0,lf_compression_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,4.0,is_encrypted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table8b_shap_stability,,,,,,,,,,,,,,,,,,,,,,,,,T3,,,,,,,,5.0,suspicious_entry_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_roc_pr_auc,ZombieGuard LightGBM,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_roc_pr_auc,Rule-based baseline,,,,,,,,,0.874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_entropy_stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malicious,1348.0,7.4509,0.5595,65.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_entropy_stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benign,1785.0,7.2063,1.3481,76.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gootloader,1070.0,67.0,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,80.0,7.0,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vidar,26.0,1.0,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NetSupport RAT,20.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRStealer,13.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wsgidav,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ClickFix,6.0,3.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APT37,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dllhijack,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,File-pumped,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SmartApeSG,6.0,1.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_family_prevalence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Omnibar-ai-chat-search,6.0,1.0,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
