source_table,model,accuracy,precision,recall,f1,TP,FP,TN,FN,roc_auc,group,removed_features,delta_vs_full_model,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_auc_mean,variant,name,n_total,n_test,mean_prob,fn_mean_prob,primary_feature,window,n_malicious,n_benign,auc,tp,fp,fn,tn,rank,feature,class,n,mean,std,pct_above_threshold,family,samples_scanned,evasion_detected,evasion_rate_pct,filename,predicted_probability,lf_compression_method,cd_compression_method,method_mismatch,data_entropy_shannon,data_entropy_renyi,declared_vs_entropy_flag,eocd_count,lf_unknown_method,suspicious_entry_count,suspicious_entry_ratio,any_crc_mismatch,is_encrypted,Attack,Strategy,Features Neutralized,Evasion (ML only),Evasion (Hybrid),Residual weakness,attack,parameter,n_decoys,features_neutralized,prob_ml_only,detected_ml_only,evasion_ml_only,prob_hybrid,detected_hybrid,evasion_hybrid,lf_method,cd_method,deflate_level,payload_entropy,format,samples,malicious,benign,cv_recall,cv_recall_ci,file_path,file_size_kb,prediction,prob_benign,prob_malicious,is_false_positive,held_out_family,train_rows,test_positive_rows,test_negative_rows,false_positive_rate,train_dataset,test_dataset,synthetic_mal_mean,synthetic_mal_std,real_mal_mean,real_mal_std,ks_statistic,ks_p_value,mean_abs_diff
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.002,,,,,,,,,Entropy Dilution,N=500,500.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9041,,1.0,,,,0.001,,,,,,,,,Entropy Dilution,N=1000,1000.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9019,,1.0,,,,,,,,,,,,,Method Harmonization,Variant A baseline,,none,1.0,True,False,1.0,True,False,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.9019,,1.0,,,,,,,,,,,,,Method Harmonization,Both STORE (attack),,method_mismatch,0.0,False,True,1.0,True,False,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,7.9019,,0.0,,,,,,,,,,,,,Method Harmonization,Both DEFLATE (ctrl),,method_mismatch,0.0,False,True,0.0,False,True,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9156,,,,,1.0,0.5,,,,,,,,,Entropy Camouflage,N=1,1.0,suspicious_entry_ratio,1.0,True,False,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9152,,,,,1.0,0.0909,,,,,,,,,Entropy Camouflage,N=10,10.0,suspicious_entry_ratio,1.0,True,False,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9225,,,,,1.0,0.0196,,,,,,,,,Entropy Camouflage,N=50,50.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.9304,,,,,1.0,0.0099,,,,,,,,,Entropy Camouflage,N=100,100.0,suspicious_entry_ratio,0.0,False,True,1.0,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=1,,none,1.0,True,False,1.0,True,False,,,1.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=2,,none,1.0,True,False,1.0,True,False,,,2.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=3,,none,1.0,True,False,1.0,True,False,,,3.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=6,,none,1.0,True,False,1.0,True,False,,,6.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
adversarial_full_results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,Entropy Threshold,level=9,,none,1.0,True,False,1.0,True,False,,,9.0,7.9507,,,,,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.9868,0.9962,0.9778,0.9869,,,,,0.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIP,530.0,270.0,260.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZIP,530.0,270.0,260.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.9525,0.9132,1.0,0.9547,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APK,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APK,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.57,1.0,0.14,0.2456,,,,,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAR,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,0.5,0.5,1.0,0.6667,,,,,0.2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAR,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost,0.79,1.0,0.58,0.7342,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7z,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,Transformer,0.5,0.5,1.0,0.6667,,,,,0.2083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7z,400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost-calibrated,0.68,1.0,0.36,0.5294,,,,,0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAR (t=0.15),400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
generalisation_results,XGBoost-calibrated,0.8825,1.0,0.765,0.8669,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7z (t=0.25),400.0,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,
hard_test_comparison,Model A - Synthetic-trained,1.0,1.0,1.0,1.0,32.0,0.0,239.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard_test_comparison,Model B - Real-trained,1.0,1.0,1.0,1.0,32.0,0.0,239.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard_test_comparison,Model C - Mixed,1.0,1.0,1.0,1.0,32.0,0.0,239.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
three_model_comparison,Model A (Synthetic),1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
three_model_comparison,Model B (Real only),1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9692,0.9169-1.0215,,,,,,,,,,,,,,,,,,,,
three_model_comparison,Model C (Mixed),1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,nan-nan,,,,,,,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black-21.5b0.zip,1156.9677734375,0.0,0.9999991340989371,8.659010628688423e-07,0.0,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,click-8.0.1.zip,362.712890625,0.0,0.999999219791984,7.802080161312942e-07,0.0,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flask-1.1.2.zip,696.1923828125,0.0,0.9999990788850948,9.211149051415588e-07,0.0,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numpy-1.19.5.zip,7390.7216796875,0.0,0.9999990135753422,9.864246578486834e-07,0.0,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pandas-1.2.4.zip,9771.7587890625,0.0,0.9999990135753422,9.864246578486834e-07,0.0,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pydantic-1.8.2.zip,386.9716796875,0.0,0.999999236431024,7.635689760976293e-07,0.0,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pytest-6.2.4.zip,1306.3466796875,0.0,0.9999991340989371,8.659010628688423e-07,0.0,,,,,,,,,,,,,,
table_external_benign_validation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,requests-2.25.1.zip,3660.41796875,0.0,0.9999990135753422,9.864246578486834e-07,0.0,,,,,,,,,,,,,,
table_leave_one_family_out,,,1.0,0.9852941176470588,,,,,,,,,,,,,,,,,,,,,,,,,67.0,0.0,1.0,1245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gootloader,4399.0,68.0,1245.0,0.0,,,,,,,,,
table_leave_one_family_out,,,1.0,0.35,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,13.0,1245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Entropy,4447.0,20.0,1245.0,0.0,,,,,,,,,
table_real_only_ablation,,,,1.0,,,,,,,None (full model),---,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_real_only_ablation,,,,1.0,,,,,,,Entropy features,"data_entropy_shannon, data_entropy_renyi, declared_vs_entropy_flag",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_real_only_ablation,,,,0.8888888888888888,,,,,,,Suspicious entry group,"method_mismatch, suspicious_entry_count, suspicious_entry_ratio",-0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_real_only_ablation,,,,1.0,,,,,,,Header method fields,"lf_compression_method, cd_compression_method",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_real_only_ablation,,,,1.0,,,,,,,CRC mismatch,any_crc_mismatch,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_real_only_ablation,,,,1.0,,,,,,,EOCD count,eocd_count,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_real_only_ablation,,,,1.0,,,,,,,Encryption flag,is_encrypted,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
table_synthetic_train_real_test,,,0.9746835443037974,0.8651685393258427,,,,,,,,,,,,,,,,,,,,,,,,,77.0,2.0,12.0,1243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016064257028112,Synthetic only,"Real world (1,366)",,,,,,,
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suspicious_entry_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8612759643916914,0.370518328636417,231.47191011235955,353.3049766339684,0.9349181475677658,2.968729160314628e-92,230.61063414796783
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,suspicious_entry_ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0504846439169139,0.0311066943491297,0.8694303370786517,0.290751631297459,0.9276081085586636,2.5508242367983027e-89,0.8189456931617377
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data_entropy_shannon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.450869807121663,0.5594579431062808,7.906364044943819,0.8428224091194866,0.8633931250625145,3.959526300723646e-70,0.4554942378221565
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cd_compression_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.772997032640948,32.52609699876832,1.6067415730337078,10.87995577643864,0.7640449438202247,1.1852345510659888e-50,19.16625545960724
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,data_entropy_renyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.064642655786351,1.8764478425272029,7.182902247191012,2.40922521262822,0.7631197279365185,1.6687772146502658e-50,1.1182595914046614
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eocd_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4510385756676558,1.434982745270508,225.1011235955056,356.51124901311994,0.6563698196245791,1.805279486526092e-35,223.65008501983797
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,any_crc_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7781899109792285,0.4154640458925043,0.1348314606741573,0.3415434641251834,0.6433584503050712,6.5167744928339715e-34,0.6433584503050712
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,method_mismatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6305637982195845,0.482652146576057,0.0,0.0,0.6305637982195845,1.9282123991380783e-32,0.6305637982195845
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lf_compression_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.915430267062316,34.241379593219044,8.393258426966293,9.89565558692365,0.4777281365651985,5.571572646391239e-18,8.522171840096023
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,declared_vs_entropy_flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2893175074183976,0.4534455726099915,0.0674157303370786,0.2507406022968697,0.2219017770813189,0.0004301899080224,0.2219017770813189
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lf_unknown_method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1483679525222551,0.3554643486857845,0.0224719101123595,0.1482124264974485,0.1258960424098956,0.1294177301515877,0.1258960424098956
table_synthetic_real_feature_alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,is_encrypted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1468842729970326,0.3539905130694406,0.0337078651685393,0.180476161845045,0.1131764078284933,0.2171453169079077,0.1131764078284933
