format,model,samples,malicious,benign,accuracy,precision,recall,f1,roc_auc
ZIP,XGBoost,530,270,260,0.9868,0.9962,0.9778,0.9869,0.998
ZIP,Transformer,530,270,260,1.0,1.0,1.0,1.0,1.0
APK,XGBoost,400,200,200,0.9525,0.9132,1.0,0.9547,1.0
APK,Transformer,400,200,200,1.0,1.0,1.0,1.0,1.0
RAR,XGBoost,400,200,200,0.57,1.0,0.14,0.2456,0.985
RAR,Transformer,400,200,200,0.5,0.5,1.0,0.6667,0.2031
7z,XGBoost,400,200,200,0.79,1.0,0.58,0.7342,1.0
7z,Transformer,400,200,200,0.5,0.5,1.0,0.6667,0.2083
RAR (t=0.15),XGBoost-calibrated,400,200,200,0.68,1.0,0.36,0.5294,0.985
7z (t=0.25),XGBoost-calibrated,400,200,200,0.8825,1.0,0.765,0.8669,1.0